Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Amino acid」的中文是什麼?,胺基酸,多肽,胜肽鍵,雙硫鍵
「Mạch bên」的中文是什麼?,側鏈,層析,多肽,N端
「Nhóm amino」的中文是什麼?,胺基,胜肽,多肽,電泳
「Nhóm carboxyl」的中文是什麼?,羧基,C端,手性,胺基
「Tính bất đối xứng」的中文是什麼?,手性,層析,胺基,多肽
「Peptide」的中文是什麼?,胜肽,羧基,層析,多肽
「Liên kết peptide」的中文是什麼?,胜肽鍵,兩性離子,C端,芳香族
「Polypeptide」的中文是什麼?,多肽,羧基,N端,C端
「Đầu N」的中文是什麼?,N端,C端,胜肽,手性
「Đầu C」的中文是什麼?,C端,羧基,N端,電泳
「Ion lưỡng cực」的中文是什麼?,兩性離子,胺基,芳香族,雙硫鍵
「Điểm đẳng điện」的中文是什麼?,等電點,胺基酸,胺基,胜肽鍵
「Amino acid thiết yếu」的中文是什麼?,必需胺基酸,等電點,多肽,雙硫鍵
「Nhóm thơm」的中文是什麼?,芳香族,手性,胜肽,胺基酸
「Liên kết disulfide」的中文是什麼?,雙硫鍵,電泳,羧基,兩性離子
「Sắc ký」的中文是什麼?,層析,手性,多肽,電泳
「Điện di」的中文是什麼?,電泳,層析,N端,羧基
