term_id,week,zh,pinyin,vi,en,note
W01-001,1,生物化學,shēng wù huà xué,Hóa sinh,Biochemistry,
W01-002,1,細胞,xì bāo,Tế bào,Cell,
W01-003,1,原核細胞,yuán hé xì bāo,Tế bào nhân sơ,Prokaryotic cell,
W01-004,1,真核細胞,zhēn hé xì bāo,Tế bào nhân thực,Eukaryotic cell,
W01-005,1,胞器,bāo qì,Bào quan,Organelle,
W01-006,1,細胞核,xì bāo hé,Nhân tế bào,Nucleus,
W01-007,1,粒線體,lì xiàn tǐ,Ty thể,Mitochondrion,越南語 ti thể 亦通用
W01-008,1,細胞質,xì bāo zhì,Tế bào chất,Cytoplasm,
W01-009,1,分子,fēn zǐ,Phân tử,Molecule,
W01-010,1,原子,yuán zǐ,Nguyên tử,Atom,
W01-011,1,官能基,guān néng jī,Nhóm chức,Functional group,
W01-012,1,蛋白質,dàn bái zhì,Protein,Protein,口語 chất đạm
W01-013,1,碳水化合物,tàn shuǐ huà hé wù,Carbohydrate,Carbohydrate,舊寫 cacbohydrat;醫科系統作 glucid
W01-014,1,脂質,zhī zhì,Lipid,Lipid,
W01-015,1,核酸,hé suān,Nucleic acid,Nucleic acid,舊寫 axit nucleic
W01-016,1,大分子,dà fēn zǐ,Đại phân tử,Macromolecule,
W01-017,1,單體,dān tǐ,Đơn phân,Monomer,
W01-018,1,聚合物,jù hé wù,Polymer,Polymer,
W01-019,1,代謝,dài xiè,Chuyển hóa,Metabolism,亦作 trao đổi chất
W01-020,1,演化,yǎn huà,Tiến hóa,Evolution,
W02-001,2,水,shuǐ,Nước,Water,
W02-002,2,氫鍵,qīng jiàn,Liên kết hydrogen,Hydrogen bond,舊寫 liên kết hydro
W02-003,2,共價鍵,gòng jià jiàn,Liên kết cộng hóa trị,Covalent bond,
W02-004,2,極性,jí xìng,Phân cực,Polar,
W02-005,2,非極性,fēi jí xìng,Không phân cực,Nonpolar,
W02-006,2,親水性,qīn shuǐ xìng,Ưa nước,Hydrophilic,
W02-007,2,疏水性,shū shuǐ xìng,Kỵ nước,Hydrophobic,亦寫 kị nước
W02-008,2,溶質,róng zhì,Chất tan,Solute,
W02-009,2,溶劑,róng jì,Dung môi,Solvent,
W02-010,2,濃度,nóng dù,Nồng độ,Concentration,
W02-011,2,酸,suān,Acid,Acid,舊寫 axit(2018前)
W02-012,2,鹼,jiǎn,Base,Base,舊寫 bazơ;注意 base 另有「鹼基」義
W02-013,2,解離,jiě lí,Sự phân li,Dissociation,
W02-014,2,平衡,píng héng,Cân bằng,Equilibrium,
W02-015,2,平衡常數,píng héng cháng shù,Hằng số cân bằng,Equilibrium constant,
W02-016,2,緩衝溶液,huǎn chōng róng yè,Dung dịch đệm,Buffer solution,
W02-017,2,滴定曲線,dī dìng qū xiàn,Đường cong chuẩn độ,Titration curve,
W02-018,2,凡德瓦力,fán dé wǎ lì,Lực van der Waals,Van der Waals force,
W02-019,2,離子鍵,lí zǐ jiàn,Liên kết ion,Ionic bond,
W02-020,2,熵,shāng,Entropy,Entropy,
W03-001,3,胺基酸,àn jī suān,Amino acid,Amino acid,舊寫 axit amin;醫科作 acid amin
W03-002,3,側鏈,cè liàn,Mạch bên,Side chain (R group),
W03-003,3,胺基,àn jī,Nhóm amino,Amino group,
W03-004,3,羧基,suō jī,Nhóm carboxyl,Carboxyl group,
W03-005,3,手性,shǒu xìng,Tính bất đối xứng,Chirality,
W03-006,3,胜肽,shēng tài,Peptide,Peptide,舊寫 peptit
W03-007,3,胜肽鍵,shēng tài jiàn,Liên kết peptide,Peptide bond,
W03-008,3,多肽,duō tài,Polypeptide,Polypeptide,
W03-009,3,N端,N duān,Đầu N,N-terminus,
W03-010,3,C端,C duān,Đầu C,C-terminus,
W03-011,3,兩性離子,liǎng xìng lí zǐ,Ion lưỡng cực,Zwitterion,
W03-012,3,等電點,děng diàn diǎn,Điểm đẳng điện,Isoelectric point (pI),
W03-013,3,必需胺基酸,bì xū àn jī suān,Amino acid thiết yếu,Essential amino acid,
W03-014,3,芳香族,fāng xiāng zú,Nhóm thơm,Aromatic,
W03-015,3,雙硫鍵,shuāng liú jiàn,Liên kết disulfide,Disulfide bond,
W03-016,3,層析,céng xī,Sắc ký,Chromatography,
W03-017,3,電泳,diàn yǒng,Điện di,Electrophoresis,
W04-001,4,一級結構,yī jí jié gòu,Cấu trúc bậc một,Primary structure,
W04-002,4,二級結構,èr jí jié gòu,Cấu trúc bậc hai,Secondary structure,
W04-003,4,三級結構,sān jí jié gòu,Cấu trúc bậc ba,Tertiary structure,
W04-004,4,四級結構,sì jí jié gòu,Cấu trúc bậc bốn,Quaternary structure,
W04-005,4,α螺旋,α luó xuán,Xoắn alpha (xoắn α),Alpha helix,
W04-006,4,β摺板,β zhé bǎn,Gấp nếp beta (phiến gấp nếp β),Beta sheet,vi.wiki 條目名為 gấp nếp beta
W04-007,4,轉角,zhuǎn jiǎo,Đoạn quay,Turn,
W04-008,4,摺疊,zhé dié,Sự cuộn gập,Folding,勿寫 gấp cuộn
W04-009,4,變性,biàn xìng,Sự biến tính,Denaturation,
W04-010,4,次單元,cì dān yuán,Tiểu đơn vị,Subunit,
W04-011,4,結構域,jié gòu yù,Vùng cấu trúc (domain),Domain,
W04-012,4,伴護蛋白,bàn hù dàn bái,Protein đồng hành (chaperone),Chaperone,
W04-013,4,纖維狀蛋白,xiān wéi zhuàng dàn bái,Protein dạng sợi,Fibrous protein,
